Provider_id	Region_id	Description	Measure_id	Denominator	Numerator			
24FB8BC4-1ADB-423C-9DF7-DF281EB00325	1	Abbasi MD, Kafia H	9B6F3897-53F0-40EE-BFBC-6DD4162618F8	33	0		IVD Antithrombotic Neuro	IVD Antithrombotic Neuro
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	CAD Antiplatelet	6	2		LDL Control	LDL Control
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	CAD Lipid Lowering Drugs	2	1		Chlamydia Screening	Chlamydia Screening
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	Lipid Testing	20	11		HIV/AIDS	HIV/AIDS
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	Pneumonia Vaccination	123	24		Lipid LT 100	Lipid LT 100
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	Influenza	332	35		CAD Antiplatelet	CAD Antiplatelet
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	Depression	534	203		CAD Lipid Lowering Drugs	CAD Lipid Lowering Drugs
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	92877B4E-A96E-45A4-8734-53D5A6100069	0	0		Lipid Testing	Lipid Testing
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	B28AF571-9833-474D-8F35-5BC557C89BEE	5	4		Pneumonia Vaccination	Pneumonia Vaccination
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	Lipid LT 100	0	0		Influenza	Influenza
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	FD13C439-E2CC-4D4E-B5B2-67E8A976BB95	34	34		Depression	Depression
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	9B6F3897-53F0-40EE-BFBC-6DD4162618F8	529	264		Heart Failure ACE Arb	Heart Failure ACE Arb
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	086B0985-E4AD-43C1-9C22-88CFBE261E3F	52	10		B28AF571-9833-474D-8F35-5BC557C89BEE	IVDBP
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	61173E6E-083D-4F59-8097-921C8AD4A8F0	144	144		FD13C439-E2CC-4D4E-B5B2-67E8A976BB95	Diabetes: Eye Exam
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	D03562F7-FF8A-405C-BCA9-94DEC092F33E	54	44		9B6F3897-53F0-40EE-BFBC-6DD4162618F8	BMI
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	849E7DDB-8DDB-4175-982D-974EFAFB808F	68	20		086B0985-E4AD-43C1-9C22-88CFBE261E3F	HbA1C > 9
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	IVD Antithrombotic Neuro	4	3		61173E6E-083D-4F59-8097-921C8AD4A8F0	HTN
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	DDF1489B-C3F6-46C3-A403-B5F7D0C9E379	52	21		D03562F7-FF8A-405C-BCA9-94DEC092F33E	Diabetes: Nephro Screening
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	ED87A3EC-8929-4397-B1AB-B6E3460F63E7	240	29		849E7DDB-8DDB-4175-982D-974EFAFB808F	Osteoarthritis OTC Meds
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	6F3C49DB-F20A-40AE-846E-B79DE7343243	1	0		DDF1489B-C3F6-46C3-A403-B5F7D0C9E379	HbA1C < 8
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	D06F1D7A-1E8A-4DAD-8ED0-B95ACFB2F2D4	34	4		ED87A3EC-8929-4397-B1AB-B6E3460F63E7	Colon Cancer Screening
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	11E825E0-F8A8-4BEB-8C9A-BD8F4EB33814	0	0		6F3C49DB-F20A-40AE-846E-B79DE7343243	Colon Cancer Screening Education
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	LDL Control	7	0		D06F1D7A-1E8A-4DAD-8ED0-B95ACFB2F2D4	Diabetes: Foot Exam
